Season,Lg,Champion,Runner-Up,Hart,Vezina,Calder,Norris,Conn Smythe
1949-50,NHL,Detroit Red Wings,New York Rangers,C. Rayner,B. Durnan,J. Gelineau,N/A,N/A
1948-49,NHL,Toronto Maple Leafs,Detroit Red Wings,S. Abel,B. Durnan,P. Lund,N/A,N/A
1947-48,NHL,Toronto Maple Leafs,Detroit Red Wings,B. O'Connor,T. Broda,J. McFadden,N/A,N/A
1946-47,NHL,Toronto Maple Leafs,Montreal Canadiens,M. Richard,B. Durnan,H. Meeker,N/A,N/A
1945-46,NHL,Montreal Canadiens,Boston Bruins,M. Bentley,B. Durnan,E. Laprade,N/A,N/A
1944-45,NHL,Toronto Maple Leafs,Detroit Red Wings,E. Lach,B. Durnan,F. McCool,N/A,N/A
1943-44,NHL,Montreal Canadiens,Chicago Black Hawks,B. Pratt,B. Durnan,G. Bodnar,N/A,N/A
1942-43,NHL,Detroit Red Wings,Boston Bruins,B. Cowley,J. Mowers,G. Stewart,N/A,N/A
1941-42,NHL,Toronto Maple Leafs,Detroit Red Wings,T. Anderson,F. Brimsek,G. Warwick,N/A,N/A
1940-41,NHL,Boston Bruins,Detroit Red Wings,B. Cowley,T. Broda,J. Quilty,N/A,N/A
1939-40,NHL,New York Rangers,Toronto Maple Leafs,E. Goodfellow,D. Kerr,K. MacDonald,N/A,N/A
1938-39,NHL,Boston Bruins,Toronto Maple Leafs,T. Blake,F. Brimsek,F. Brimsek,N/A,N/A
1937-38,NHL,Chicago Black Hawks,Toronto Maple Leafs,E. Shore,T. Thompson,C. Dahlstrom,N/A,N/A
1936-37,NHL,Detroit Red Wings,New York Rangers,B. Siebert,N. Smith,S. Apps,N/A,N/A
1935-36,NHL,Detroit Red Wings,Toronto Maple Leafs,E. Shore,T. Thompson,N/A,N/A,N/A
1934-35,NHL,Montreal Maroons,Toronto Maple Leafs,E. Shore,L. Chabot,N/A,N/A,N/A
1933-34,NHL,Chicago Black Hawks,Detroit Red Wings,A. Joliat,C. Gardiner,N/A,N/A,N/A
1932-33,NHL,New York Rangers,Toronto Maple Leafs,E. Shore,T. Thompson,N/A,N/A,N/A
1931-32,NHL,Toronto Maple Leafs,New York Rangers,H. Morenz,C. Gardiner,N/A,N/A,N/A
1930-31,NHL,Montreal Canadiens,Chicago Black Hawks,H. Morenz,R. Worters,N/A,N/A,N/A
1929-30,NHL,Montreal Canadiens,Boston Bruins,N. Stewart,T. Thompson,N/A,N/A,N/A
1928-29,NHL,Boston Bruins,New York Rangers,R. Worters,G. Hainsworth,N/A,N/A,N/A
1927-28,NHL,New York Rangers,Montreal Maroons,H. Morenz,G. Hainsworth,N/A,N/A,N/A
1926-27,NHL,Ottawa Senators,Boston Bruins,H. Gardiner,G. Hainsworth,N/A,N/A,N/A
1925-26,NHL,Montreal Maroons,Ottawa Senators,N. Stewart,N/A,N/A,N/A,N/A
1924-25,NHL,Montreal Canadiens,Hamilton Tigers,B. Burch,N/A,N/A,N/A,N/A
1923-24,NHL,Montreal Canadiens,Ottawa Senators,F. Nighbor,N/A,N/A,N/A,N/A
1922-23,NHL,Ottawa Senators,Montreal Canadiens,N/A,N/A,N/A,N/A,N/A
1921-22,NHL,Toronto St. Patricks,Ottawa Senators,N/A,N/A,N/A,N/A,N/A
1920-21,NHL,Ottawa Senators,Toronto St. Patricks,N/A,N/A,N/A,N/A,N/A
1919-20,NHL,Ottawa Senators,N/A,N/A,N/A,N/A,N/A,N/A
1918-19,NHL,Montreal Canadiens,Ottawa Senators,N/A,N/A,N/A,N/A,N/A
1917-18,NHL,Toronto Arenas,Montreal Canadiens,N/A,N/A,N/A,N/A,N/A
